"Date","Depth","Measurement"
2017-02-15,18,1.99821875
2017-02-15,19,2.037625
2017-02-15,20,2.070875
2017-02-15,21,2.064125
2017-02-15,22,2.017375
2017-02-15,23,2.084625
2017-02-15,24,2.265875
2017-02-15,25,2.38634375
2017-02-15,26,2.44603125
2017-02-15,27,2.56716666666667
2017-02-15,28,2.74975
2017-02-16,2,0.899229166666667
2017-02-16,3,1.194
2017-02-16,4,1.247375
2017-02-16,5,1.301875
2017-02-16,6,1.3575
2017-02-16,7,1.439
2017-02-16,8,1.525
2017-02-16,9,1.6065
2017-02-16,10,1.6615625
2017-02-16,11,1.7020625
2017-02-16,12,1.7915
2017-02-16,13,1.87925
2017-02-16,14,1.91975
2017-02-16,15,1.93775
2017-02-16,16,1.93325
2017-02-16,17,1.95729166666667
2017-02-16,18,2.009875
2017-02-16,19,2.05153125
2017-02-16,20,2.08226041666667
2017-02-16,21,2.07453125
2017-02-16,22,2.02834375
2017-02-16,23,2.09559375
2017-02-16,24,2.27628125
2017-02-16,25,2.39421875
2017-02-16,26,2.44940625
2017-02-16,27,2.5685625
2017-02-16,28,2.7516875
2017-02-17,2,0.8941875
2017-02-17,3,1.194
2017-02-17,4,1.2485
2017-02-17,5,1.303
2017-02-17,6,1.358625
2017-02-17,7,1.440125
2017-02-17,8,1.530625
2017-02-17,9,1.6183125
2017-02-17,10,1.6761875
2017-02-17,11,1.7133125
2017-02-17,12,1.7943125
2017-02-17,13,1.87925
2017-02-17,14,1.91975
2017-02-17,15,1.9355
2017-02-17,16,1.9265
2017-02-17,17,1.95325
2017-02-17,18,2.01575
2017-02-17,19,2.0605
2017-02-17,20,2.0875
2017-02-17,21,2.0765
2017-02-17,22,2.0275
2017-02-17,23,2.09475
2017-02-17,24,2.27825
2017-02-17,25,2.39675
2017-02-17,26,2.45025
2017-02-17,27,2.56940625
2017-02-17,28,2.75421875
2017-02-18,2,0.901
2017-02-18,3,1.1974375
2017-02-18,4,1.2501875
2017-02-18,5,1.3058125
2017-02-18,6,1.3665
2017-02-18,7,1.4463125
2017-02-18,8,1.5345625
2017-02-18,9,1.6183125
2017-02-18,10,1.673375
2017-02-18,11,1.7195
2017-02-18,12,1.806125
2017-02-18,13,1.8876875
2017-02-18,14,1.9225625
2017-02-18,15,1.93859375
2017-02-18,16,1.93578125
2017-02-18,17,1.96253125
2017-02-18,18,2.01884375
2017-02-18,19,2.06303125
2017-02-18,20,2.09509375
2017-02-18,21,2.0855
2017-02-18,22,2.03425
2017-02-18,23,2.09896875
