"","Date","Depth","Measurement"
"344",2017-01-31,21,1.99371875
"345",2017-01-31,22,1.95490625
"346",2017-01-31,23,2.017125
"347",2017-01-31,24,2.180375
"348",2017-01-31,25,2.2828125
"349",2017-01-31,26,2.3244375
"350",2017-01-31,27,2.4314375
"351",2017-01-31,28,2.6038125
"352",2017-02-01,2,0.95925
"353",2017-02-01,3,1.1305
"354",2017-02-01,4,1.1564375
"355",2017-02-01,5,1.2030625
"356",2017-02-01,6,1.25697916666667
"357",2017-02-01,7,1.33566666666667
"358",2017-02-01,8,1.421
"359",2017-02-01,9,1.4985625
"360",2017-02-01,10,1.5491875
"361",2017-02-01,11,1.589125
"362",2017-02-01,12,1.68525
"363",2017-02-01,13,1.779125
"364",2017-02-01,14,1.826375
"365",2017-02-01,15,1.8455
"366",2017-02-01,16,1.8365
"367",2017-02-01,17,1.859
"368",2017-02-01,18,1.913
"369",2017-02-01,19,1.96025
"370",2017-02-01,20,2.00075
"371",2017-02-01,21,2.00215625
"372",2017-02-01,22,1.96446875
"373",2017-02-01,23,2.025
"374",2017-02-01,24,2.18375
"375",2017-02-01,25,2.2884375
"376",2017-02-01,26,2.3390625
"377",2017-02-01,27,2.44634375
"378",2017-02-01,28,2.61028125
"379",2017-02-02,2,0.963145833333333
"380",2017-02-02,3,1.147375
"381",2017-02-02,4,1.17135416666667
"382",2017-02-02,5,1.21460416666667
"383",2017-02-02,6,1.26325
"384",2017-02-02,7,1.347
"385",2017-02-02,8,1.43675
"386",2017-02-02,9,1.5086875
"387",2017-02-02,10,1.561
"388",2017-02-02,11,1.59870833333333
"389",2017-02-02,12,1.68752083333333
"390",2017-02-02,13,1.78278125
"391",2017-02-02,14,1.83059375
"392",2017-02-02,15,1.848875
"393",2017-02-02,16,1.837625
"394",2017-02-02,17,1.85984375
"395",2017-02-02,18,1.91553125
"396",2017-02-02,19,1.96332291666667
"397",2017-02-02,20,2.00321875
"398",2017-02-02,21,2.00659375
"399",2017-02-02,22,1.97344791666667
"400",2017-02-02,23,2.03709375
"401",2017-02-02,24,2.19753125
"402",2017-02-02,25,2.30053125
"403",2017-02-02,26,2.34609375
"404",2017-02-02,27,2.45310416666667
"405",2017-02-02,28,2.6215625
"406",2017-02-03,2,0.9568125
"407",2017-02-03,3,1.153
"408",2017-02-03,4,1.1805
"409",2017-02-03,5,1.2215
"410",2017-02-03,6,1.276
"411",2017-02-03,7,1.3575
"412",2017-02-03,8,1.439
"413",2017-02-03,9,1.51825
"414",2017-02-03,10,1.5728125
"415",2017-02-03,11,1.6073125
"416",2017-02-03,12,1.7000625
"417",2017-02-03,13,1.79571875
"418",2017-02-03,14,1.83790625
"419",2017-02-03,15,1.8528125
"420",2017-02-03,16,1.8404375
"421",2017-02-03,17,1.862375
"422",2017-02-03,18,1.918625
"423",2017-02-03,19,1.96639583333333
"424",2017-02-03,20,2.0056875
"425",2017-02-03,21,2.00878125
"426",2017-02-03,22,1.97567708333333
"427",2017-02-03,23,2.04075
"428",2017-02-03,24,2.204
"429",2017-02-03,25,2.30698958333333
"430",2017-02-03,26,2.34971875
"431",2017-02-03,27,2.45840625
"432",2017-02-03,28,2.63305208333333
"433",2017-02-04,2,0.952166666666667
"434",2017-02-04,3,1.1535625
"435",2017-02-04,4,1.18275
"436",2017-02-04,5,1.22825
"437",2017-02-04,6,1.285
"438",2017-02-04,7,1.3614375
"439",2017-02-04,8,1.4395625
"440",2017-02-04,9,1.51825
"441",2017-02-04,10,1.5773125
"442",2017-02-04,11,1.61879166666667
"443",2017-02-04,12,1.70760416666667
"444",2017-02-04,13,1.797125
"445",2017-02-04,14,1.837625
"446",2017-02-04,15,1.8561875
"447",2017-02-04,16,1.8528125
"448",2017-02-04,17,1.87953125
"449",2017-02-04,18,1.93634375
"450",2017-02-04,19,1.9820625
"451",2017-02-04,20,2.0166875
"452",2017-02-04,21,2.015
"453",2017-02-04,22,1.977
"454",2017-02-04,23,2.04075
"455",2017-02-04,24,2.20625
"456",2017-02-04,25,2.31520833333333
"457",2017-02-04,26,2.367625
"458",2017-02-04,27,2.47996875
"459",2017-02-04,28,2.65223958333333
"460",2017-02-05,2,0.957854166666667
"461",2017-02-05,3,1.156375
"462",2017-02-05,4,1.181625
"463",2017-02-05,5,1.23275
"464",2017-02-05,6,1.2979375
"465",2017-02-05,7,1.369875
"466",2017-02-05,8,1.4474375
"467",2017-02-05,9,1.5278125
"468",2017-02-05,10,1.5874375
"469",2017-02-05,11,1.62897916666667
"470",2017-02-05,12,1.71216666666667
"471",2017-02-05,13,1.80134375
"472",2017-02-05,14,1.84353125
"473",2017-02-05,15,1.864625
"474",2017-02-05,16,1.864625
"475",2017-02-05,17,1.89078125
"476",2017-02-05,18,1.94309375
"477",2017-02-05,19,1.987875
"478",2017-02-05,20,2.025125
"479",2017-02-05,21,2.0200625
"480",2017-02-05,22,1.9726875
"481",2017-02-05,23,2.034
"482",2017-02-05,24,2.204
"483",2017-02-05,25,2.31575
"484",2017-02-05,26,2.36925
"485",2017-02-05,27,2.48327083333333
"486",2017-02-05,28,2.6578125
"487",2017-02-06,2,0.950895833333333
"488",2017-02-06,3,1.16425
